id,champion_name
0,Aatrox
1,Ahri
2,Akali
3,Akshan
4,Alistar
5,Ambessa
6,Anivia
7,Annie
8,Aphelios
9,Ashe
10,AurelionSol
11,Aurora
12,Azir
13,Bard
14,Belveth
15,Blitzcrank
16,Brand
17,Braum
18,Briar
19,Caitlyn
20,Camille
21,Cassiopeia
22,Chogath
23,Corki
24,Darius
25,Diana
26,DrMundo
27,Draven
28,Ekko
29,Elise
30,Evelynn
31,Ezreal
32,FiddleSticks
33,Fiora
34,Fizz
35,Galio
36,Gangplank
37,Garen
38,Gnar
39,Gragas
40,Graves
41,Gwen
42,Hecarim
43,Heimerdinger
44,Hwei
45,Illaoi
46,Irelia
47,Ivern
48,Janna
49,JarvanIV
50,Jax
51,Jayce
52,Jhin
53,Jinx
54,KSante
55,Kaisa
56,Kalista
57,Karma
58,Karthus
59,Kassadin
60,Katarina
61,Kayn
62,Kennen
63,Khazix
64,Kindred
65,Kled
66,KogMaw
67,Leblanc
68,LeeSin
69,Leona
70,Lillia
71,Lissandra
72,Lucian
73,Lulu
74,Lux
75,Malphite
76,Malzahar
77,Maokai
78,MasterYi
79,Mel
80,Milio
81,MissFortune
82,MonkeyKing
83,Mordekaiser
84,Morgana
85,Naafiri
86,Nami
87,Nasus
88,Nautilus
89,Neeko
90,Nidalee
91,Nocturne
92,Nunu
93,Olaf
94,Orianna
95,Ornn
96,Pantheon
97,Poppy
98,Pyke
99,Qiyana
100,Quinn
101,Rakan
102,Rammus
103,RekSai
104,Rell
105,Renata
106,Renekton
107,Rengar
108,Riven
109,Rumble
110,Ryze
111,Samira
112,Sejuani
113,Senna
114,Seraphine
115,Sett
116,Shaco
117,Shen
118,Singed
119,Sion
120,Sivir
121,Skarner
122,Smolder
123,Sona
124,Soraka
125,Swain
126,Sylas
127,Syndra
128,TahmKench
129,Taliyah
130,Talon
131,Taric
132,Teemo
133,Thresh
134,Tristana
135,Trundle
136,Tryndamere
137,TwistedFate
138,Twitch
139,Udyr
140,Urgot
141,Varus
142,Vayne
143,Veigar
144,Velkoz
145,Vex
146,Vi
147,Viego
148,Viktor
149,Vladimir
150,Volibear
151,Warwick
152,Xayah
153,Xerath
154,XinZhao
155,Yasuo
156,Yone
157,Yorick
158,Yuumi
159,Zac
160,Zed
161,Zeri
162,Ziggs
163,Zilean
164,Zoe
165,Zyra
